Name,long,lat
Sig 9014500,-93.34534699999995,44.93803800000006
Sig 9010835,-93.34543268199997,44.93673990200006
Sig 9024500,-93.34180099999998,44.93774000000008
Sig 9014300,-93.38736799999998,44.93633700000004
Sig 9024600,-93.34950500099995,44.93127300000003
Sig 9029965,-93.48192918899997,45.03201891200007
Sig 9029994,-93.48201199999994,45.04401500000006
Sig 9026600,-93.33941799999997,44.91228800000005
Sig 9026500,-93.33147199999996,44.91239500000006
Sig 9010715,-93.40850899999998,44.89610100000004
Sig 9016600,-93.30971099899995,45.06457500000005
Sig 9015000,-93.30869258599995,45.06664562600008
Sig 9024900,-93.39052299999997,45.06914100000006
Sig 9016200,-93.35436699999997,45.06918100000007
Sig 9015900,-93.28856999899995,44.87095600000004
Sig 9018400,-93.30776699999996,45.06928200000004
Sig 9015600,-93.28627299999994,44.88506200000006
Sig 9027000,-93.35522499999996,45.07297200000005
Sig 9015400,-93.30641899899996,45.07279900000003
Sig 9014900,-93.29982299899996,45.07273200000003
Sig 9018600,-93.29422199999999,45.07299800000004
Sig 9029100,-93.28924999999998,45.07395700000006
Sig 9015700,-93.28720300099997,44.88164900000004
Sig 9029974,-93.44303099899997,45.07965600000006
Sig 9026100,-93.35350099999994,44.87537000000003
Sig 9026300,-93.33617599999997,44.87623300000007
Sig 9015800,-93.28935299999995,44.87621000000007
Sig 9018500,-93.35585499899997,45.08258900000004
Sig 9025000,-93.39159799999999,45.08749300000005
Sig 9029995,-93.43352599999997,45.09095300000007
Sig 9028600,-93.32721599999996,44.86544200000003
Sig 9029983,-93.32397799999995,44.86535200000003
Sig 9027900,-93.31490999899995,44.86564800000008
Sig 9029980,-93.30576399999995,44.86533000000003
Sig 9029985,-93.30258399899998,44.86519300000003
Sig 9025100,-93.29760299999998,44.86568500000004
Sig 9028000,-93.29478899899999,44.86404800000003
Sig 9016000,-93.28862999999996,44.86560300000008
Sig 9020800,-93.30075399999998,45.09463000000005
Sig 9026200,-93.35390999999998,44.86440100000004
Sig 9026000,-93.34781600099996,44.86426700000004
Sig 9029982,-93.34549199999998,44.86305500000003
Sig 9029981,-93.33561299999997,44.86331400000006
Sig 9026700,-93.25779699999998,44.86392500000005
Sig 9024800,-93.28881900099998,44.86390900000004
Sig 9020000,-93.43535299999996,44.85715800000003
Sig 9018200,-93.41986400099995,44.85850400000004
Sig 9028200,-93.36635299999995,44.86318900000003
Sig 9029830,-93.50765718499997,45.03595526600003
Sig 9010665,-93.44187999999997,45.09559600000006
Sig 9010550,-93.44170699999995,44.85893800000008
Sig 9029975,-93.42010199999999,44.85442500000005
Sig 9010590,-93.42390200099999,45.10280700000004
Sig 9018300,-93.42502499999995,44.85116900000003
Sig 9010630,-93.49250799999999,45.10905100000008
Sig 9010625,-93.49225999999999,45.11626200000006
Sig 9010660,-93.42175999899996,45.11652500000008
Sig 9029200,-93.44177299999996,44.84384800000004
Sig 9028800,-93.42384799999996,44.84345500000006
Sig 9010670,-93.49166599999995,45.12495900000005
Sig 9010680,-93.48774899999995,45.12712500000004
Sig 9010675,-93.48267499999997,45.12845800000008
Sig 9010650,-93.36907999999994,45.13231100000007
Sig 9010655,-93.35904499999998,45.13254600000005
Sig 9010685,-93.48038800099994,45.13027000000005
